date,trip_count,avg_fare,total_fare,avg_total_amount,total_revenue,avg_distance,avg_duration,avg_tip,avg_passengers,source_file
2018-08-31,239506,13.271762419313086,3178666.73,16.667504112631836,3991967.24,3.1531448481457667,14.325770544370496,1.7745711172162701,1.6118835224185066,2018-08
2018-09-01,205926,12.669329904917301,2608944.43,15.48839218942727,3189462.65,3.1792690578168856,12.342562943322683,1.5096877033497471,1.6755808472278242,2018-09
2018-09-02,189281,13.234680765634161,2505073.61,16.145068654540076,3055954.74,3.357274000031699,12.865308632843938,1.5700008981355764,1.6779069213799378,2018-09
2018-09-03,187494,13.578224423181542,2545835.61,16.896083501338712,3167914.2800000003,3.6771126009365633,12.024732435882392,1.8347212710806744,1.6551902652505737,2018-09
2018-09-04,264519,13.079562186459196,3459792.71,16.559623883350536,4380335.15,3.0602451997777096,14.303025239522807,1.8827719747919809,1.571007506734873,2018-09
2018-09-05,289947,13.204239809344466,3828529.72,16.642625928186874,4825479.46,2.866732920154373,15.512626560486341,1.9140911269990721,1.563055270690685,2018-09
2018-09-06,299271,13.542104848114251,4052759.26,17.03261979944599,5097369.16,2.862350712230721,16.46435354578292,1.9699379158020658,1.5592936280675462,2018-09
2018-09-07,291345,13.826431927783213,4028261.81,17.375734953405757,5062333.5,3.0195663217148057,16.37178768584782,1.9800223103193808,1.5767671353372092,2018-09
2018-09-08,277426,12.892411922458601,3576690.27,15.862474497703891,4400662.85,2.8707900485174425,14.639808633653658,1.7142040399962513,1.6352641583615581,2018-09
2018-09-09,254357,12.852705528057022,3269175.62,15.9716758335725,4062507.5500000003,3.1252184528045226,13.37253138960857,1.7772171396894916,1.6312882132149855,2018-09
2018-09-10,250178,12.687443500227838,3174119.24,16.12114422531158,4033155.62,2.967730336000767,13.739239328264942,1.846861274772362,1.577202043518789,2018-09
2018-09-11,263568,13.138844928064104,3462979.08,16.654405087112245,4389568.24,2.9354336641777454,14.622071976365365,1.9585157909913191,1.5643116664198908,2018-09
2018-09-12,289001,13.795168494226663,3986817.49,17.398955263130578,5028315.47,2.92593295524929,16.83605950613781,2.0558386303161584,1.551006550982301,2018-09
2018-09-13,298561,13.863368725319114,4139061.23,17.503605460860594,5225893.95,2.9911985825342224,16.812456248471836,2.0678282829974446,1.5557649425769133,2018-09
2018-09-14,298945,13.443649467293316,4018911.79,16.979705531117766,5075998.07,2.967449731555972,15.787442952159541,1.9677953469701783,1.57745625255319,2018-09
2018-09-15,284446,12.65406558714132,3599398.34,15.570524879942065,4428973.5200000005,2.827612622430971,14.396601815458821,1.6871478593476443,1.6418708553939245,2018-09
2018-09-16,254763,13.314289555390697,3391988.35,16.51809650537951,4208199.82,3.2632478421120807,13.839823548422128,1.8311074999116825,1.6346115316773455,2018-09
2018-09-17,265386,13.095005652144422,3475231.17,16.592135493206122,4403320.47,2.992095136894938,14.629182021659018,1.918831701747643,1.5565220999581275,2018-09
2018-09-18,266545,12.93198720666304,3446956.53,16.321733440882404,4350476.44,2.7533867827196157,15.168370006315381,1.9030938115515204,1.561727722939562,2018-09
2018-09-19,266337,12.485182982462069,3325266.18,15.893496697792648,4233026.23,2.8812067793810097,13.221417602511105,1.8538723121458902,1.5790792934986848,2018-09
2018-09-20,296242,13.764352488843581,4077579.31,17.37370031933352,5146819.73,2.9737169948893136,16.52793701320767,2.038140743041162,1.5552964476303455,2018-09
2018-09-21,295190,13.698289643958129,4043598.12,17.249019207967752,5091737.98,2.9837685219689014,16.269619905823365,1.9805995799315692,1.5723031110839787,2018-09
2018-09-22,282028,12.848090508743812,3623521.27,15.81684421404967,4460792.94,2.9069953337966443,14.325344764822406,1.7105695533776788,1.6411636554592033,2018-09
2018-09-23,240736,13.72288070749701,3303591.41,17.025328451083347,4098609.47,3.3595097118835575,14.220443487194824,1.8921483699986708,1.6201718611641163,2018-09
2018-09-24,232968,14.2332874042787,3315900.5,17.983683767727754,4189622.84,3.2439541911335463,15.83193385643808,2.0760197537859275,1.5524795626273307,2018-09
2018-09-25,248967,14.079185193218379,3505252.5,17.749336859905128,4418999.15,2.9801846429446472,17.00390232440444,2.0803144593460177,1.5522100624783899,2018-09
2018-09-26,262146,14.343470012893578,3760083.29,18.063062415600466,4735159.56,3.034616892876489,17.396708577154207,2.116765428425381,1.5465747407421555,2018-09
2018-09-27,278388,14.605617591275486,4066028.67,18.427438718622927,5129977.81,3.1670962828857565,17.692990478516794,2.159050857077173,1.548643184990144,2018-09
2018-09-28,291762,13.70616358538809,3998937.7,17.29735911462082,5046712.09,3.045613548028873,16.150546678457097,1.9854139675488924,1.574411798009189,2018-09
2018-09-29,287142,12.788837857227435,3672212.48,15.730769096823174,4516964.5,2.883106233152935,14.313790041164301,1.6954724143455155,1.6381461986265555,2018-09
2018-09-30,252143,13.320119773303244,3358574.96,16.548874844830117,4172682.95,3.335623237607231,13.350005750704957,1.8376553384389016,1.6212999900764116,2018-09
2018-10-01,254061,13.245551973738591,3365178.18,16.829868535509192,4275813.23,3.1304042336289317,14.04073221260511,1.93926789235656,1.5490975725094578,2018-10
2018-10-02,279266,12.86432644861888,3592568.99,16.338716062821824,4562847.88,2.896124805740763,14.342855318346428,1.914892503920993,1.5483758808812038,2018-10
2018-10-03,295029,13.670826054387874,4033290.14,17.304141626755335,5105223.6,3.010206589860658,16.048728599561397,2.0387202275030587,1.5429710833559598,2018-10
2018-10-04,303506,14.05610442627164,4266112.03,17.74694552990715,5386304.45,3.0560673265108433,16.94464623434133,2.0813917023057207,1.548850299756829,2018-10
2018-10-05,290895,14.260225579676515,4148228.32,17.905934134309632,5208746.71,3.071421990752677,17.317040570194287,2.0309631997799893,1.567505051304734,2018-10
2018-10-06,282436,13.063241760965315,3689529.75,16.04465415173703,4531587.94,2.9057597119347394,14.777287538887867,1.7210443073829116,1.6405359148716023,2018-10
2018-10-07,243892,14.107566996867465,3440722.73,17.3933242172765,4242092.63,3.3576537975825365,15.095534908894102,1.886150017220737,1.6306407256905964,2018-10
2018-10-08,230663,13.40199598548532,3091344.6,16.74300035116165,3861990.69,3.3433877128104634,13.311618031500501,1.9242526543051985,1.5685982557962868,2018-10
2018-10-09,278910,13.47293643110681,3757736.7,17.04648072855043,4754433.94,3.0140947617511027,15.502245288205275,1.9797220250259941,1.5457909774867906,2018-10
2018-10-10,292987,13.436773167410157,3936799.86,17.007711809739,4983038.46,2.9490190008430406,15.773211894498163,1.9911512456184064,1.5389621042270465,2018-10
2018-10-11,289476,13.938360831295167,4034820.94,17.546462711934666,5079279.84,2.9130004905415303,17.226003191974463,2.051985864113087,1.54364736088139,2018-10
2018-10-12,300934,13.884336964251299,4178269.06,17.48818614712861,5262789.8100000005,3.034176164873361,16.678731770642955,2.002849096479627,1.571026376566587,2018-10
2018-10-13,295008,12.519734786853238,3693421.92,15.431922524134938,4552540.6,2.788097068554073,14.016156002549083,1.6768141880898144,1.636528397173519,2018-10
2018-10-14,252609,13.746137904825243,3472398.15,17.068817065108526,4311736.81,3.359439172792735,14.209379911246234,1.9109859110324652,1.6186170950672822,2018-10
2018-10-15,260803,13.534116478721488,3529738.18,17.16028301054819,4475453.29,3.149245599168721,14.984704611015466,1.9864575560863948,1.5429277023290113,2018-10
2018-10-16,291934,13.235389129049716,3863860.09,16.79110829845102,4901895.41,2.94857012201388,15.249267585595831,1.9735243582453568,1.5412610869878378,2018-10
2018-10-17,298215,13.550495783243633,4040961.1,17.159156715792296,5117117.92,2.942724209043811,16.013568510414743,2.0331705313280684,1.54735912181227,2018-10
2018-10-18,311030,13.813544384786033,4296426.71,17.46066077227277,5430789.32,2.9766406134456482,16.671410689215403,2.0615048387615342,1.5500243141321466,2018-10
2018-10-19,301540,13.911780261325196,4194958.22,17.531453372686876,5286434.45,3.0522629501890295,16.608117662664984,2.0153831995755125,1.5711372189504382,2018-10
2018-10-20,289892,12.885766802809322,3735480.71,15.856321078194638,4596620.63,2.889172760890262,14.465206755159393,1.7191292274364245,1.637183635553683,2018-10
2018-10-21,269184,13.177569283464099,3547190.81,16.38049590614598,4409367.41,3.2273486165596768,13.449765959343793,1.8329132860794104,1.6232887923337898,2018-10
2018-10-22,266583,13.331356050460833,3553912.89,16.919302393625998,4510398.39,3.1035568284549275,14.61766329185782,1.961736794919406,1.54906654441054,2018-10
2018-10-23,280795,13.496699086522197,3789805.62,17.079265335921225,4795772.3100000005,2.9644177780943393,15.64756833276946,1.9948304991185741,1.5461292381872844,2018-10
2018-10-24,291326,13.566872129504404,3952382.59,17.19377899672532,5008994.86,2.95742625100403,15.96702771694482,2.0360978422797826,1.5447589768983707,2018-10
2018-10-25,306891,13.806166489079185,4236988.24,17.445364934129707,5353825.49,2.9988337227223996,16.616337450973365,2.0484598440488644,1.5462470666183616,2018-10
2018-10-26,308149,13.705153578301406,4223229.37,17.287941839824242,5327261.99,2.9986423450992863,16.25989148106922,1.9858527855031172,1.5722944032445711,2018-10
2018-10-27,299804,12.197204807140665,3656770.79,15.056575762831715,4514021.64,2.6813570199196812,13.726897906632333,1.6318579471921655,1.6433948847038558,2018-10
